"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","prot_mean","protlowerci","protupperci"
"664.1","T0","12/10/2017","SSID 4 13","SSID","S4","13","NSS4","NS","control","control","control","OS Transplant","N","N","alive",20,18,17,360,6120,NA,NA,NA,NA,NA,NA,1518.411294,3.032097157,0.047120403,1.237311652,0.019228481,0.048959353,5.010683761,0,"SSID:S4",0.145117638294546,0.0696936019123725,0.215051404818277
"709","T0","12/10/2017","SSID 5 13","SSID","S5","13","NSS5","NS","control","control","control","NS Transplant","N","N","alive",30,22,17,660,11220,NA,NA,NA,NA,NA,NA,5632.775758,8.102944836,0.09891778,2.363002485,0.028846668,0.064856314,2.426035503,0,"SSID:S5",0.0421395932692195,-0.0393773119982877,0.122100761155162
"709.1","T0","12/10/2017","SSID 5 13","SSID","S5","13","NSS5","NS","control","control","control","OS Native","N","N","alive",30,22,17,660,11220,NA,NA,NA,NA,NA,NA,5632.775758,8.102944836,0.09891778,2.363002485,0.028846668,0.064856314,2.426035503,0,"SSID:S5",0.040826413600631,-0.038245381696548,0.12111217429669
"751","T0","12/10/2017","SSID 6 13","SSID","S6","13","NSS6","NS","control","control","control","NS Native","N","N","alive",35,20,18,700,12600,NA,NA,NA,NA,NA,NA,2703.466667,3.122290833,0.069926152,1.682173962,0.037673605,0.049652338,2.651515152,0,"SSID:S6",0.143837317456244,0.075459991981907,0.216034857236595
"751.1","T0","12/10/2017","SSID 6 13","SSID","S6","13","NSS6","NS","control","control","control","OS Transplant","N","N","alive",35,20,18,700,12600,NA,NA,NA,NA,NA,NA,2703.466667,3.122290833,0.069926152,1.682173962,0.037673605,0.049652338,2.651515152,0,"SSID:S6",0.145117638294546,0.0696936019123725,0.215051404818277
"803","T0","12/13/2017","SSID 1 26","SSID","S1","26","OSS1","OS","control","control","control","NS Transplant","N","N","alive",18,14,9,252,2268,NA,NA,NA,NA,NA,NA,1121.241212,2.651668676,0.060441885,5.078958316,0.115769295,0.040878027,2.722222222,0,"SSID:S1",0.0421395932692195,-0.0393773119982877,0.122100761155162
"803.1","T0","12/13/2017","SSID 1 26","SSID","S1","26","OSS1","OS","control","control","control","OS Native","N","N","alive",18,14,9,252,2268,NA,NA,NA,NA,NA,NA,1121.241212,2.651668676,0.060441885,5.078958316,0.115769295,0.040878027,2.722222222,0,"SSID:S1",0.040826413600631,-0.038245381696548,0.12111217429669
"891","T0","12/13/2017","SSID 3 26","SSID","S3","26","OSS3","OS","control","control","control","NS Native","N","N","alive",25,21,13,525,6825,NA,NA,NA,NA,NA,NA,3263.644444,2.778453357,0.045194009,0.807119469,0.013128514,0.491896722,36.28409091,0,"SSID:S3",0.143837317456244,0.075459991981907,0.216034857236595
"891.1","T0","12/13/2017","SSID 3 26","SSID","S3","26","OSS3","OS","control","control","control","OS Transplant","N","N","alive",25,21,13,525,6825,NA,NA,NA,NA,NA,NA,3263.644444,2.778453357,0.045194009,0.807119469,0.013128514,0.491896722,36.28409091,0,"SSID:S3",0.145117638294546,0.0696936019123725,0.215051404818277
"934","T0","12/13/2017","SSID 4 26","SSID","S4","26","OSS4","OS","control","control","control","NS Transplant","N","N","alive",24,19,9,456,4104,NA,NA,NA,NA,NA,NA,2405.431579,4.27785026,0.078228579,2.51174887,0.045932076,0.027965944,2.083333333,0,"SSID:S4",0.0421395932692195,-0.0393773119982877,0.122100761155162
"934.1","T0","12/13/2017","SSID 4 26","SSID","S4","26","OSS4","OS","control","control","control","OS Native","N","N","alive",24,19,9,456,4104,NA,NA,NA,NA,NA,NA,2405.431579,4.27785026,0.078228579,2.51174887,0.045932076,0.027965944,2.083333333,0,"SSID:S4",0.040826413600631,-0.038245381696548,0.12111217429669
"977","T0","12/13/2017","SSID 5 26","SSID","S5","26","OSS5","OS","control","control","control","NS Native","N","N","alive",20,16,10,320,3200,NA,NA,NA,NA,NA,NA,797.7916484,0.785430966,0.019215654,2.982274617,0.072961671,0.186648885,21.1875,0,"SSID:S5",0.143837317456244,0.075459991981907,0.216034857236595
"977.1","T0","12/13/2017","SSID 5 26","SSID","S5","26","OSS5","OS","control","control","control","OS Transplant","N","N","alive",20,16,10,320,3200,NA,NA,NA,NA,NA,NA,797.7916484,0.785430966,0.019215654,2.982274617,0.072961671,0.186648885,21.1875,0,"SSID:S5",0.145117638294546,0.0696936019123725,0.215051404818277
"1020","T0","12/13/2017","SSID 6 26","SSID","S6","26","OSS6","OS","control","control","control","NS Transplant","N","N","alive",19,20,12,380,4560,NA,NA,NA,NA,NA,NA,2528.6912,5.12918709,0.064491459,3.167850063,0.039830731,0.01040246,0.925925926,0,"SSID:S6",0.0421395932692195,-0.0393773119982877,0.122100761155162
"1020.1","T0","12/13/2017","SSID 6 26","SSID","S6","26","OSS6","OS","control","control","control","OS Native","N","N","alive",19,20,12,380,4560,NA,NA,NA,NA,NA,NA,2528.6912,5.12918709,0.064491459,3.167850063,0.039830731,0.01040246,0.925925926,0,"SSID:S6",0.040826413600631,-0.038245381696548,0.12111217429669
